date,product_id,total_amt
2021-01-25,c8c71204,1240.54
2021-01-25,e1c6f101,1022.71
2021-01-25,e129c4bf,1503.66
2021-01-25,7e701719,2822.52
2021-01-25,a16ef134,3546.26
2021-01-25,f7577ae9,350.78
2021-01-25,2bfe7621,950.73
2021-01-25,722aa0d5,451.0
2021-01-25,785c1948,1194.06
2021-01-25,a1e0ce88,646.8
2021-01-25,c720b985,1931.47
2021-01-25,a1193aba,2329.46
2021-01-25,83aa2744,1987.67
2021-01-25,2bcee1f9,1413.03
2021-01-25,a4b3ec15,2017.93
2021-01-25,d749f7e0,1000.62
2021-01-25,fdc3c68d,721.9
2021-01-25,31d08250,1625.37
2021-01-25,d075be3d,400.83
2021-01-25,44b90490,117.49
2021-01-25,e5dd56b9,1201.84
2021-01-25,733f4982,2376.03
2021-01-25,677c489b,1165.87
2021-01-25,4c437167,1172.08
2021-01-25,97c23de4,3187.68
2021-01-25,ebce9a73,428.17
